"Story","Title","Result","Date","Stability","Duration (s)"
"Student CURD test","This will create a new student","ERROR","2022-01-11T21:49:49.142Z[Europe/London]","0.0","4.73"
"Student CURD test","Verify if the student was added to the application","ERROR","2022-01-11T21:49:53.874Z[Europe/London]","0.0","5.67"
"Student CURD test","Update the user information and verify the update information","ERROR","2022-01-11T21:49:59.642Z[Europe/London]","0.0","4.13"
"Student CURD test","Delete the student and verify if the student is deleted!","ERROR","2022-01-11T21:50:03.771Z[Europe/London]","0.0","4.1"
